name,style,ounces,abv,ibu,brewery,city,state
Miner's Gold Hefeweizen,Hefeweizen,12.0,5.0,,Lewis and Clark Brewing Company,Helena,MT
Back Country Scottish Ale,Scottish Ale,12.0,5.7,,Lewis and Clark Brewing Company,Helena,MT
Getaway,German Pilsener,16.0,5.2,30.0,Lift Bridge Brewing Company,Stillwater,MN
Farm Girl Saison,Saison / Farmhouse Ale,16.0,6.0,30.0,Lift Bridge Brewing Company,Stillwater,MN
Adam's Stout,American Stout,12.0,5.8,40.0,Liquid Hero Brewery,York,PA
American Hero,American Amber / Red Ale,12.0,5.7,42.0,Liquid Hero Brewery,York,PA
Schweet Ale,Fruit / Vegetable Beer,12.0,5.2,20.0,Liquid Hero Brewery,York,PA
Irregardless IPA,American IPA,12.0,6.5,75.0,Liquid Hero Brewery,York,PA
Peach Pale Ale,American Pale Ale (APA),12.0,5.7,40.0,Lone Tree Brewing Company,Lone Tree,CO
Deadeye Jack,American Porter,12.0,6.0,,Lonerider Brewing Company,Raleigh,NC
Pistols at Dawn,American Stout,16.0,7.5,,Lonerider Brewing Company,Raleigh,NC
Peacemaker Pale Ale,American Pale Ale (APA),12.0,5.7,47.0,Lonerider Brewing Company,Raleigh,NC
Shotgun Betty,Hefeweizen,12.0,5.8,11.0,Lonerider Brewing Company,Raleigh,NC
Sweet Josie,American Brown Ale,12.0,6.1,30.0,Lonerider Brewing Company,Raleigh,NC
Long Trail IPA,English India Pale Ale (IPA),12.0,5.9,42.0,Long Trail Brewing Company,Bridgewater Corners,VT
Long Trail Ale,American Amber / Red Ale,12.0,4.6,30.0,Long Trail Brewing Company,Bridgewater Corners,VT
Double Bag,Altbier,16.0,7.2,33.0,Long Trail Brewing Company,Bridgewater Corners,VT
Blackbeary Wheat,Fruit / Vegetable Beer,12.0,4.0,8.0,Long Trail Brewing Company,Bridgewater Corners,VT
Gose,Gose,16.0,4.6,8.0,Lost Nation Brewing,East Fairfield,VT
Vermont Pilsner,German Pilsener,16.0,4.8,20.0,Lost Nation Brewing,East Fairfield,VT
Mosaic Single Hop IPA,American IPA,16.0,5.5,,Lost Nation Brewing,East Fairfield,VT
Lost Galaxy,American IPA,16.0,4.5,,Lost Nation Brewing,East Fairfield,VT
Face Plant IPA,American IPA,12.0,6.2,65.0,Lost Rhino Brewing Company,Ashburn,VA
Rhino Chasers Pilsner,Czech Pilsener,12.0,5.6,55.0,Lost Rhino Brewing Company,Ashburn,VA
Slow Hand Stout,American Stout,16.0,5.2,29.0,Lucette Brewing Company,Menominee,WI
Hips Don't Lie,Hefeweizen,16.0,6.2,,Lucette Brewing Company,Menominie,WI
Ride Again Pale Ale,American Pale Ale (APA),16.0,5.2,,Lucette Brewing Company,Menominie,WI
The Farmer's Daughter,American Blonde Ale,16.0,4.8,,Lucette Brewing Company,Menominie,WI
Pub Ale,English Dark Mild Ale,12.0,3.8,18.0,Lucky Town Brewing Company,Jackson,MS
Ballistic Blonde,Belgian Pale Ale,12.0,5.1,31.0,Lucky Town Brewing Company,Jackson,MS
Knotty Pine,American Pale Ale (APA),12.0,5.4,,Lumberyard Brewing Company,Flagstaff,AZ
Lumberyard Pilsner,American Pilsner,12.0,5.3,20.0,Lumberyard Brewing Company,Flagstaff,AZ
Lumberyard IPA,American IPA,12.0,6.1,,Lumberyard Brewing Company,Flagstaff,AZ
Lumberyard Red Ale,American Amber / Red Ale,12.0,5.8,,Lumberyard Brewing Company,Flagstaff,AZ
Mac's Highlander Pale Ale,American Pale Ale (APA),12.0,5.0,,MacTarnahans Brewing Company,Portland,OR
Mac's Scottish Style Amber Ale,American Amber / Red Ale,12.0,5.1,32.0,MacTarnahans Brewing Company,Portland,OR
Macon Progress Ale,American Pale Ale (APA),12.0,5.0,,Macon Beer Company,Macon,GA
Macon History Ale,American Brown Ale,12.0,5.5,,Macon Beer Company,Macon,GA
Galaxy High,American Double / Imperial IPA,12.0,9.9,,Madtree Brewing Company,Cincinnati,OH
Sol Drifter,American Blonde Ale,12.0,4.3,18.0,Madtree Brewing Company,Cincinnati,OH
Thunder Snow,Winter Warmer,12.0,8.5,,Madtree Brewing Company,Cincinnati,OH
The Great Pumpcan,Fruit / Vegetable Beer,16.0,7.9,18.0,Madtree Brewing Company,Cincinnati,OH
LIFT,Kölsch,12.0,4.7,11.0,Madtree Brewing Company,Cincinnati,OH
SPRYE,American Pale Ale (APA),12.0,5.0,40.0,Madtree Brewing Company,Cincinnati,OH
Psychopathy,American IPA,12.0,6.9,70.0,Madtree Brewing Company,Cincinnati,OH
Gnarly Brown,American Brown Ale,12.0,7.0,32.0,Madtree Brewing Company,Cincinnati,OH
Happy Amber,American Amber / Red Ale,12.0,6.0,30.0,Madtree Brewing Company,Cincinnati,OH
#9,Fruit / Vegetable Beer,16.0,5.1,20.0,Magic Hat Brewing Company,South Burlington,VT
Elder Betty,Hefeweizen,12.0,5.5,13.0,Magic Hat Brewing Company,South Burlington,VT
High Country Pilsner,German Pilsener,12.0,4.2,,Mammoth Brewing Company,Mammoth Lakes,CA
Epic IPA,American IPA,12.0,6.5,,Mammoth Brewing Company,Mammoth Lakes,CA
Golden Trout Pilsner,German Pilsener,12.0,4.2,,Mammoth Brewing Company,Mammoth Lakes,CA
Real McCoy Amber Ale,American Amber / Red Ale,12.0,4.5,,Mammoth Brewing Company,Mammoth Lakes,CA
Festivus,Winter Warmer,12.0,7.2,,Manayunk Brewing Company,Philadelphia,PA
Manayunk Oktoberfest,Märzen / Oktoberfest,12.0,6.7,,Manayunk Brewing Company,Philadelphia,PA
Belgian Style Session Ale,Belgian Pale Ale,12.0,4.5,21.0,Manayunk Brewing Company,Philadelphia,PA
Manayunk IPA,American IPA,12.0,5.5,,Manayunk Brewing Company,Philadelphia,PA
Yunkin' Punkin',Pumpkin Ale,12.0,5.5,,Manayunk Brewing Company,Philadelphia,PA
Summer Paradise,American Pale Wheat Ale,12.0,5.0,18.0,Manayunk Brewing Company,Philadelphia,PA
Monk from the 'Yunk,Tripel,12.0,9.0,30.0,Manayunk Brewing Company,Philadelphia,PA
Schuylkill Punch,Fruit / Vegetable Beer,12.0,6.0,14.0,Manayunk Brewing Company,Philadelphia,PA
Dreamin' Double IPA,American Double / Imperial IPA,12.0,8.5,85.0,Manayunk Brewing Company,Philadelphia,PA
Chaotic Double IPA,American Double / Imperial IPA,12.0,9.9,93.0,Manzanita Brewing Company,Santee,CA
Manzanita IPA,American IPA,12.0,8.0,88.0,Manzanita Brewing Company,Santee,CA
Riverwalk Blonde Ale,American Blonde Ale,12.0,6.0,25.0,Manzanita Brewing Company,Santee,CA
Gillespie Brown Ale,American Brown Ale,12.0,9.5,49.0,Manzanita Brewing Company,Santee,CA
Manzanita Pale Ale,American Pale Ale (APA),12.0,6.6,44.0,Manzanita Brewing Company,Santee,CA
Marble Pilsner,German Pilsener,12.0,4.7,,Marble Brewery,Albuquerque,NM
Marble India Pale Ale,American IPA,12.0,6.2,,Marble Brewery,Albuquerque,NM
Toughcats IPA,American IPA,16.0,7.2,,Marshall Wharf Brewing Company,Belfast,ME
Tug Pale Ale,American Pale Ale (APA),16.0,5.0,,Marshall Wharf Brewing Company,Belfast,ME
Sexy Chaos,Russian Imperial Stout,16.0,9.9,,Marshall Wharf Brewing Company,Belfast,ME
Ace Hole American Pale Ale,American Pale Ale (APA),16.0,6.3,,Marshall Wharf Brewing Company,Belfast,ME
Cant Dog Imperial Pale Ale,American Double / Imperial IPA,16.0,9.7,,Marshall Wharf Brewing Company,Belfast,ME
River House,Saison / Farmhouse Ale,16.0,5.0,20.0,Martin House Brewing Company,Fort Worth,TX
Pretzel Stout,American Stout,16.0,6.5,47.0,Martin House Brewing Company,Fort Worth,TX
Rubberneck Red,American Amber / Red Ale,16.0,5.0,35.0,Martin House Brewing Company,Fort Worth,TX
The Imperial Texan,American Double / Imperial IPA,16.0,8.0,,Martin House Brewing Company,Fort Worth,TX
Day Break 4-Grain Breakfast Beer,Rye Beer,16.0,5.0,,Martin House Brewing Company,Fort Worth,TX
River House Saison,Saison / Farmhouse Ale,12.0,5.0,,Martin House Brewing Company,Fort Worth,TX
There Will Be Stout,American Stout,12.0,6.5,,Martin House Brewing Company,Fort Worth,TX
Our Legacy IPA,American IPA,12.0,6.5,60.0,Matt Brewing Company,Utica,NY
Saranac Shandy,Shandy,12.0,4.2,,Matt Brewing Company,Utica,NY
Saranac Golden Pilsener,German Pilsener,12.0,5.1,,Matt Brewing Company,Utica,NY
Saranac Adirondack Light,Light Lager,12.0,4.5,,Matt Brewing Company,Utica,NY
DAX Light,Light Lager,12.0,4.5,,Matt Brewing Company,Utica,NY
Saranac Traditional Lager,American Pale Lager,12.0,4.8,,Matt Brewing Company,Utica,NY
Pomegranate Wheat,Fruit / Vegetable Beer,12.0,4.7,,Matt Brewing Company,Utica,NY
Blueberry Blonde Ale,American Blonde Ale,12.0,5.0,12.0,Matt Brewing Company,Utica,NY
Saranac White IPA,American IPA,12.0,6.0,,Matt Brewing Company,Utica,NY
Saranac Summer Ale,American Pale Wheat Ale,12.0,4.7,,Matt Brewing Company,Utica,NY
Saranac Pale Ale,English Pale Ale,12.0,5.5,,Matt Brewing Company,Utica,NY
Lahaina Town Brown,American Brown Ale,12.0,5.1,20.0,Maui Brewing Company,Lahaina,HI
Pau Hana Pilsner,Czech Pilsener,12.0,5.5,,Maui Brewing Company,Lahaina,HI
Lemongrass Saison,Saison / Farmhouse Ale,12.0,5.0,,Maui Brewing Company,Lahaina,HI
Aloha B’ak’tun,Belgian Strong Dark Ale,12.0,7.0,,Maui Brewing Company,Lahaina,HI
Liquid Breadfruit,Fruit / Vegetable Beer,12.0,8.2,,Maui Brewing Company,Lahaina,HI
Sobrehumano Palena'ole,American Amber / Red Ale,12.0,6.0,24.0,Maui Brewing Company,Lahaina,HI
La Perouse White,Witbier,12.0,5.0,12.0,Maui Brewing Company,Lahaina,HI
Flyin' HI.P.Hay,American IPA,12.0,6.8,68.0,Maui Brewing Company,Lahaina,HI
Mana Wheat,American Pale Wheat Ale,12.0,5.5,15.0,Maui Brewing Company,Lahaina,HI
Bikini Blonde Lager,Munich Helles Lager,12.0,4.5,18.0,Maui Brewing Company,Lahaina,HI
CoCoNut Porter,American Porter,12.0,5.7,30.0,Maui Brewing Company,Lahaina,HI
Big Swell IPA,American IPA,12.0,6.2,65.0,Maui Brewing Company,Lahaina,HI
Pit Stop Chocolate Porter,American Porter,12.0,3.7,34.0,Mavericks Beer Company,Half Moon Bay,CA
Pace Setter Belgian Style Wit,Witbier,12.0,3.7,21.0,Mavericks Beer Company,Half Moon Bay,CA
Back in the Saddle Rye Pale Ale,American Pale Ale (APA),12.0,3.7,53.0,Mavericks Beer Company,Half Moon Bay,CA
Bushwhacker Cider,Cider,16.0,6.9,,Meckley's Cidery,Somerset Center,MI
Weim-R-Iner,Cider,16.0,6.9,,Meckley's Cidery,Somerset Center,MI
Cherry Bomb,Cider,16.0,6.9,,Meckley's Cidery,Somerset Center,MI
Tsunami IPA,American IPA,19.2,7.2,75.0,Mehana Brewing Co.,Hilo,HI
Humpback Blonde Ale,American Blonde Ale,12.0,4.2,22.0,Mehana Brewing Co.,Hilo,HI
Hawaiian Crow Porter,American Porter,12.0,5.2,27.0,Mehana Brewing Co.,Hilo,HI
Volcano Red Ale,American Amber / Red Ale,12.0,5.2,23.0,Mehana Brewing Co.,Hilo,HI
Mauna Kea Pale Ale,American Pale Ale (APA),12.0,5.4,42.0,Mehana Brewing Co.,Hilo,HI
Shark Bait,Fruit / Vegetable Beer,12.0,5.3,11.0,Miami Brewing Company,Miami,FL
Gator Tail Brown Ale,American Brown Ale,12.0,5.3,30.0,Miami Brewing Company,Miami,FL
Miami Vice IPA,American IPA,12.0,7.1,62.0,Miami Brewing Company,Miami,FL
Big Rod Coconut Ale,American Blonde Ale,12.0,5.3,16.0,Miami Brewing Company,Miami,FL
Mickey Finn's Amber Ale,American Amber / Red Ale,12.0,5.6,,Mickey Finn's Brewery,Libertyville,IL
Pleasure Town,American IPA,12.0,6.3,61.0,Midnight Sun Brewing Company,Anchorage,AK
Pleasure Town IPA,American IPA,12.0,6.3,61.0,Midnight Sun Brewing Company,Anchorage,AK
Snowshoe White Ale,Witbier,12.0,4.8,12.0,Midnight Sun Brewing Company,Anchorage,AK
Kodiak Brown Ale,American Brown Ale,12.0,5.0,24.0,Midnight Sun Brewing Company,Anchorage,AK
Sockeye Red IPA,American IPA,12.0,5.7,70.0,Midnight Sun Brewing Company,Anchorage,AK
Habitus,American Double / Imperial IPA,16.0,8.0,100.0,Mike Hess Brewing Company,San Diego,CA
Solis,American IPA,16.0,7.5,85.0,Mike Hess Brewing Company,San Diego,CA
Jucundus,Wheat Ale,16.0,6.0,24.0,Mike Hess Brewing Company,San Diego,CA
Claritas,Kölsch,16.0,5.8,28.0,Mike Hess Brewing Company,San Diego,CA
Vinyl Frontier,American Double / Imperial IPA,24.0,8.3,,Mikerphone Brewing,Chicago,IL
Disco Superfly,American IPA,24.0,8.0,,Mikerphone Brewing,Chicago,IL
Misty Mountain Hop,American IPA,24.0,7.5,,Mikerphone Brewing,Chicago,IL
One-Hit Wonderful,Belgian IPA,24.0,7.5,,Mikerphone Brewing,Chicago,IL
En Parfaite Harmonie,Saison / Farmhouse Ale,24.0,6.5,,Mikerphone Brewing,Chicago,IL
Daft Funk,Berliner Weissbier,24.0,4.3,8.0,Mikerphone Brewing,Chicago,IL
Love In An Ellavator,American IPA,24.0,7.5,,Mikerphone Brewing,Chicago,IL
Spin Doctor,American Pale Ale (APA),24.0,5.3,,Mikerphone Brewing,Chicago,IL
Keeper,American Pilsner,12.0,5.0,,Mikkeller,Pottstown,PA
Better Half,American IPA,12.0,6.8,,Mikkeller,Pottstown,PA
SNO White Ale,Witbier,16.0,4.8,,MillKing It Productions,Royal Oak,MI
BRIK Irish Red Ale,Irish Red Ale,16.0,4.8,,MillKing It Productions,Royal Oak,MI
AXL Pale Ale,American Pale Ale (APA),16.0,,,MillKing It Productions,Royal Oak,MI
Hop Freak,American Double / Imperial IPA,16.0,8.7,80.0,Milwaukee Brewing Company,Milwaukee,WI
Louie's Demise Amber Ale,American Amber / Red Ale,16.0,5.1,24.0,Milwaukee Brewing Company,Milwaukee,WI
Hop Happy,American IPA,16.0,7.5,51.0,Milwaukee Brewing Company,Milwaukee,WI
Booyah Farmhouse Ale,Saison / Farmhouse Ale,16.0,6.5,20.0,Milwaukee Brewing Company,Milwaukee,WI
O-Gii,Witbier,16.0,9.2,,Milwaukee Brewing Company,Milwaukee,WI
Flaming Damsel Lager,Vienna Lager,16.0,4.8,18.0,Milwaukee Brewing Company,Milwaukee,WI
Louie’s Demise Immort-Ale,American Amber / Red Ale,16.0,5.1,24.0,Milwaukee Brewing Company,Milwaukee,WI
Axe Head Malt Liquor,American Malt Liquor,24.0,9.9,,Minhas Craft Brewery,Monroe,WI
Huber Bock,Bock,16.0,5.4,,Minhas Craft Brewery,Monroe,WI
Minhas Light,Light Lager,12.0,4.0,,Minhas Craft Brewery,Monroe,WI
Huber,American Pale Lager,12.0,5.0,,Minhas Craft Brewery,Monroe,WI
Clear Creek Ice,American Pale Lager,16.0,6.2,,Minhas Craft Brewery,Monroe,WI
Mountain Crest,American Pale Lager,16.0,5.5,,Minhas Craft Brewery,Monroe,WI
Mountain Creek,American Pale Lager,12.0,5.5,,Minhas Craft Brewery,Monroe,WI
Boxer,American Adjunct Lager,24.0,5.0,,Minhas Craft Brewery,Monroe,WI
Boxer Light,Light Lager,12.0,4.2,,Minhas Craft Brewery,Monroe,WI
Boxer Ice,American Adjunct Lager,12.0,5.5,,Minhas Craft Brewery,Monroe,WI
Cortez Gold,Belgian Pale Ale,32.0,5.0,,Mission Brewery,San Diego,CA
Mission IPA,American IPA,32.0,6.8,66.0,Mission Brewery,San Diego,CA
El Conquistador Extra Pale Ale,American Pale Ale (APA),32.0,4.8,44.0,Mission Brewery,San Diego,CA
Shipwrecked Double IPA,American Double / Imperial IPA,32.0,9.2,75.0,Mission Brewery,San Diego,CA
Squeaky Bike Nut Brown Ale,American Brown Ale,16.0,4.0,,Moab Brewery,Moab,UT
Dead Horse Amber,American Pale Wheat Ale,16.0,4.0,,Moab Brewery,Moab,UT
Rocket Bike American Lager,California Common / Steam Beer,16.0,4.0,,Moab Brewery,Moab,UT
Johnny's American IPA,American IPA,16.0,4.0,,Moab Brewery,Moab,UT
Boneshaker Brown Ale,English Brown Ale,24.0,5.5,,Moat Mountain Smoke House & Brew...,North Conway,NH
Iron Mike Pale Ale,American Pale Ale (APA),24.0,5.6,,Moat Mountain Smoke House & Brew...,North Conway,NH
Monkadelic,American Pale Ale (APA),12.0,4.2,,Modern Monks Brewery,Lincoln,NE
City of the Sun,American IPA,16.0,7.5,85.0,Modern Times Beer,San Diego,CA
Booming Rollers,American IPA,16.0,6.8,75.0,Modern Times Beer,San Diego,CA
Oneida,American Pale Ale (APA),16.0,5.2,50.0,Modern Times Beer,San Diego,CA
Aurora,American Amber / Red Ale,16.0,6.7,75.0,Modern Times Beer,San Diego,CA
Lomaland,Saison / Farmhouse Ale,16.0,5.5,30.0,Modern Times Beer,San Diego,CA
Fortunate Islands,American Pale Wheat Ale,16.0,4.7,46.0,Modern Times Beer,San Diego,CA
Black House,American Stout,16.0,5.8,40.0,Modern Times Beer,San Diego,CA
Blazing World,American Amber / Red Ale,16.0,6.5,115.0,Modern Times Beer,San Diego,CA
Wapiti Amber Ale,American Amber / Red Ale,12.0,5.0,,Mogollon Brewing Company,Flagstaff,AZ
Sweet Georgia Brown,American Brown Ale,16.0,5.4,,Monkey Paw Pub & Brewery,San Diego,CA
Rich Man's IIPA,American Double / Imperial IPA,16.0,8.7,,Monkey Paw Pub & Brewery,San Diego,CA
Monkey Paw Oatmeal Pale Ale,American Pale Ale (APA),16.0,5.8,,Monkey Paw Pub & Brewery,San Diego,CA
Montauk Summer Ale,American Blonde Ale,12.0,5.6,28.0,Montauk Brewing Company,Montauk,NY
Driftwood Ale,Extra Special / Strong Bitter (ESB),12.0,6.0,49.0,Montauk Brewing Company,Montauk,NY
When Helles Freezes Over,Munich Helles Lager,12.0,5.6,18.0,Morgan Street Brewery,Saint Louis,MO
Morgan Street Oktoberfest,Märzen / Oktoberfest,12.0,4.9,24.0,Morgan Street Brewery,Saint Louis,MO
Honey Wheat,American Pale Wheat Ale,12.0,4.7,14.0,Morgan Street Brewery,Saint Louis,MO
Black Bear Dark Lager,Schwarzbier,12.0,4.6,24.0,Morgan Street Brewery,Saint Louis,MO
Golden Pilsner,German Pilsener,12.0,5.0,35.0,Morgan Street Brewery,Saint Louis,MO
Cali Creamin',Cream Ale,12.0,5.2,21.0,Mother Earth Brew Company,Vista,CA
Second Wind Pale Ale,American Pale Ale (APA),12.0,5.0,,Mother Earth Brewing Company,Kinston,NC
Sunny Haze,Hefeweizen,12.0,5.0,,Mother Earth Brewing Company,Kinston,NC
Towhead,American Blonde Ale,12.0,5.2,21.0,Mother's Brewing,Springfield,MO
Lil' Helper,American IPA,12.0,7.0,70.0,Mother's Brewing,Springfield,MO
Train Wreck,American Amber / Red Ale,16.0,8.2,,Mountain Town Brewing Company,Mount Pleasant,MI
Full Moon Belgian White Ale,Witbier,12.0,8.5,,Mudshark Brewing Company,Lake Havasu City,AZ
Desert Magic IPA,American IPA,12.0,7.2,,Mudshark Brewing Company,Lake Havasu City,AZ
Up River Light,Light Lager,12.0,4.2,,Mudshark Brewing Company,Lake Havasu City,AZ
Dry Heat Hefeweizen,Hefeweizen,12.0,5.5,,Mudshark Brewing Company,Lake Havasu City,AZ
Mustang Sixty-Six,American Amber / Red Lager,12.0,5.0,,Mustang Brewing Company,Mustang,OK
Mustang '33,American Pale Lager,12.0,4.0,,Mustang Brewing Company,Mustang,OK
Session '33,American Pale Lager,12.0,4.0,,Mustang Brewing Company,Mustang,OK
Mustang Golden Ale,American Blonde Ale,12.0,5.3,10.0,Mustang Brewing Company,Mustang,OK
Washita Wheat,American Pale Wheat Ale,12.0,5.3,14.0,Mustang Brewing Company,Mustang,OK
Gansett Light,Light Lager,16.0,3.7,10.0,Narragansett Brewing Company,Providence,RI
Bohemian Pils,American Pilsner,16.0,5.2,30.0,Narragansett Brewing Company,Providence,RI
Autocrat Coffee Milk Stout,Milk / Sweet Stout,16.0,5.3,30.0,Narragansett Brewing Company,Providence,RI
Narragansett Bohemian Pilsner,German Pilsener,16.0,8.6,35.0,Narragansett Brewing Company,Providence,RI
Narragansett Summer Ale,American Pale Wheat Ale,12.0,4.2,24.0,Narragansett Brewing Company,Providence,RI
Narragansett Cream Ale,Cream Ale,16.0,5.0,22.0,Narragansett Brewing Company,Providence,RI
Narragansett Porter,American Porter,16.0,7.0,22.0,Narragansett Brewing Company,Providence,RI
Narragansett Bock,Bock,16.0,6.5,32.0,Narragansett Brewing Company,Providence,RI
Narragansett Fest Lager,Märzen / Oktoberfest,16.0,5.5,15.0,Narragansett Brewing Company,Providence,RI
Undun Blonde Ale,American Blonde Ale,16.0,5.3,,Natian Brewery,Portland,OR
CuDa Cascadian Dark Ale,American Black Ale,16.0,7.4,,Natian Brewery,Portland,OR
Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,16.0,8.5,86.0,Natian Brewery,Portland,OR
Wick For Brains,Pumpkin Ale,12.0,6.1,11.0,Nebraska Brewing Company,Papillion,NE
Nebraska India Pale Ale,American IPA,12.0,6.5,65.0,Nebraska Brewing Company,Papillion,NE
EOS Hefeweizen,Hefeweizen,12.0,4.8,10.0,Nebraska Brewing Company,Papillion,NE
Brunette Nut Brown Ale,English Brown Ale,12.0,4.8,15.0,Nebraska Brewing Company,Papillion,NE
Cardinal Pale Ale,American Pale Ale (APA),12.0,5.7,29.0,Nebraska Brewing Company,Papillion,NE
County Line IPA,American IPA,12.0,6.6,,Neshaminy Creek Brewing Company,Croydon,PA
Trauger Pilsner,German Pilsener,12.0,4.8,,Neshaminy Creek Brewing Company,Croydon,PA
Slow Ride,American IPA,12.0,4.5,40.0,New Belgium Brewing Company,Fort Collins,CO
Ranger IPA,American IPA,12.0,6.5,70.0,New Belgium Brewing Company,Fort Collins,CO
Shift,American Pale Lager,12.0,5.0,29.0,New Belgium Brewing Company,Fort Collins,CO
1554 Black Lager,Euro Dark Lager,12.0,5.6,21.0,New Belgium Brewing Company,Fort Collins,CO
Blue Paddle,Czech Pilsener,12.0,4.8,,New Belgium Brewing Company,Fort Collins,CO
California Route,American Amber / Red Lager,12.0,5.5,,New Belgium Brewing Company,Fort Collins,CO
Snapshot,American Pale Wheat Ale,16.0,5.2,,New Belgium Brewing Company,Fort Collins,CO
Sunshine Wheat Beer,American Pale Wheat Ale,12.0,4.8,,New Belgium Brewing Company,Fort Collins,CO
Fat Tire Amber Ale,American Amber / Red Ale,12.0,5.2,18.0,New Belgium Brewing Company,Fort Collins,CO
Weiss Trash Culture,Berliner Weissbier,12.0,3.4,6.0,New England Brewing Company,Woodbridge,CT
Sea Hag IPA,American IPA,12.0,6.2,,New England Brewing Company,Woodbridge,CT
Elm City Pilsner,American Pilsner,12.0,5.0,,New England Brewing Company,Woodbridge,CT
Atlantic Amber Ale,American Amber / Red Ale,12.0,5.0,,New England Brewing Company,Woodbridge,CT
Gandhi-Bot Double IPA,American Double / Imperial IPA,12.0,8.8,85.0,New England Brewing Company,Woodbridge,CT
668 Neighbor of the Beast,Belgian Pale Ale,16.0,9.0,,New England Brewing Company,Woodbridge,CT
Elm City Lager,American Pilsner,12.0,5.0,,New England Brewing Company,Woodbridge,CT
Rebirth Pale Ale,American Pale Ale (APA),12.0,5.0,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
Irish Channel Stout,American Stout,16.0,6.8,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
MechaHopzilla,American Double / Imperial IPA,16.0,8.8,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
Hopitoulas IPA,American IPA,16.0,6.5,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
NOLA Brown Ale,English Dark Mild Ale,12.0,3.9,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
NOLA Blonde Ale,American Blonde Ale,12.0,4.9,,New Orleans Lager & Ale Brewing ...,New Orleans,LA
Skylight,Dunkelweizen,12.0,5.6,20.0,New Republic Brewing Company,College Station,TX
Kadigan,American Blonde Ale,12.0,5.6,30.0,New Republic Brewing Company,College Station,TX
Dammit Jim!,American Amber / Red Ale,12.0,5.2,50.0,New Republic Brewing Company,College Station,TX
Nut Brown Ale,English Brown Ale,12.0,5.4,,New South Brewing Company,Myrtle Beach,SC
White Ale,Witbier,12.0,4.6,,New South Brewing Company,Myrtle Beach,SC
Cream Ale,Cream Ale,12.0,4.2,35.0,Newburgh Brewing Company,Newburgh,NY
Green Head IPA,American IPA,12.0,7.2,,Newburyport Brewing Company,Newburyport,MA
Plum Island Belgian White,Witbier,12.0,5.4,,Newburyport Brewing Company,Newburyport,MA
Newburyport Pale Ale,American Pale Ale (APA),12.0,5.5,,Newburyport Brewing Company,Newburyport,MA
Marblehead,American Amber / Red Ale,16.0,5.5,,Night Shift Brewing,Everett,MA
Jam Session,American Pale Ale (APA),16.0,5.1,31.0,NoDa Brewing Company,Charlotte,NC
Hop Drop 'N Roll IPA,American IPA,16.0,7.2,80.0,NoDa Brewing Company,Charlotte,NC
Paleo IPA,English India Pale Ale (IPA),12.0,6.0,,North Country Brewing Company,Slippery Rock,PA
Buck Snort Stout,American Stout,12.0,6.1,,North Country Brewing Company,Slippery Rock,PA
Station 33 Firehouse Red,Irish Red Ale,12.0,5.5,,North Country Brewing Company,Slippery Rock,PA
Slimy Pebble Pils,German Pilsener,12.0,4.5,,North Country Brewing Company,Slippery Rock,PA
Get Together,American IPA,16.0,4.5,50.0,NorthGate Brewing,Minneapolis,MN
Maggie's Leap,Milk / Sweet Stout,16.0,4.9,26.0,NorthGate Brewing,Minneapolis,MN
Wall's End,English Brown Ale,16.0,4.8,19.0,NorthGate Brewing,Minneapolis,MN
Pumpion,Pumpkin Ale,16.0,6.0,38.0,NorthGate Brewing,Minneapolis,MN
Stronghold,American Porter,16.0,6.0,25.0,NorthGate Brewing,Minneapolis,MN
Parapet ESB,Extra Special / Strong Bitter (ESB),16.0,5.6,47.0,NorthGate Brewing,Minneapolis,MN
Blue Boots IPA,American IPA,16.0,6.9,,Northampton Brewery,Northamtpon,MA
Hoppy Bitch IPA,American IPA,16.0,6.3,,Northwest Brewing Company,Pacific,WA
Three Skulls Ale Pale Ale,American Pale Ale (APA),16.0,6.3,42.0,Northwest Brewing Company,Pacific,WA
Walter's Premium Pilsener Beer,German Pilsener,12.0,4.5,,Northwoods Brewpub,Eau Claire,WI
Floppin' Crappie,American Pale Wheat Ale,12.0,4.5,,Northwoods Brewpub,Eau Claire,WI
Left of the Dial IPA,American IPA,12.0,4.3,,Notch Brewing Company,Ipswich,MA
Notch Session Pils,Czech Pilsener,12.0,4.0,,Notch Brewing Company,Ipswich,MA
O'Fallon Pumpkin Beer,Pumpkin Ale,12.0,5.5,,O'Fallon Brewery,O'Fallon,MO
5 Day IPA,American IPA,12.0,6.1,66.0,O'Fallon Brewery,O'Fallon,MO
O'Fallon Wheach,Fruit / Vegetable Beer,12.0,5.1,7.0,O'Fallon Brewery,O'Fallon,MO
Watershed IPA,American IPA,12.0,6.7,70.0,Oakshire Brewing,Eugene,OR
Oakshire Amber Ale,American Amber / Red Ale,12.0,5.4,24.0,Oakshire Brewing,Eugene,OR
Overcast Espresso Stout,American Stout,12.0,5.8,27.0,Oakshire Brewing,Eugene,OR
Lake Monster,Baltic Porter,16.0,8.2,25.0,Oasis Texas Brewing Company,Austin,TX
London Homesick Ale,English Bitter,12.0,4.9,27.0,Oasis Texas Brewing Company,Austin,TX
